"Les distractions","Entertainment","module_2_vocabulaire"
"le cinéma","the movies","module_2_vocabulaire"
"un copain","a friend (masculine)","module_2_vocabulaire"
"une copine","a friend (feminine)","module_2_vocabulaire"
"la danse","dance","module_2_vocabulaire"
"une fête","a party; a holiday","module_2_vocabulaire"
"un jeu vidéo","a video game","module_2_vocabulaire"
"un match","a (soccer) game","module_2_vocabulaire"
"la montagne","the mountain(s)","module_2_vocabulaire"
"la musique classique","(classical) music","module_2_vocabulaire"
"la plage","the beach","module_2_vocabulaire"
"la télévision","television","module_2_vocabulaire"
"la télé","television (familiar)","module_2_vocabulaire"
"les vacances","vacations","module_2_vocabulaire"
"un concert","a concert","module_2_vocabulaire"
"un film","a movie","module_2_vocabulaire"
"le golf","golf","module_2_vocabulaire"
"l'Internet","the Internet","module_2_vocabulaire"
"le jazz","jazz","module_2_vocabulaire"
"la radio","the radio","module_2_vocabulaire"
"le rap","rap","module_2_vocabulaire"
"le rock","rock","module_2_vocabulaire"
"le tennis","tennis","module_2_vocabulaire"
"une vidéo","a video","module_2_vocabulaire"
"une bibliothèque","a library","module_2_vocabulaire"
"la fac","university","module_2_vocabulaire"
"le jardin","garden","module_2_vocabulaire"
"une librairie","a bookstore","module_2_vocabulaire"
"un musée","a museum","module_2_vocabulaire"
"une piscine","a swimming pool","module_2_vocabulaire"
"une résidence universitaire","a college dorm","module_2_vocabulaire"
"un restaurant universitaire","a university restaurant","module_2_vocabulaire"
"un resto-U","cafeteria (familiar)","module_2_vocabulaire"
"une cafétéria","a cafeteria","module_2_vocabulaire"
"un complexe sportif","a sports complex","module_2_vocabulaire"
"un laboratoire","a laboratory","module_2_vocabulaire"
"le latin","Latin","module_2_vocabulaire"
"un parc","a park","module_2_vocabulaire"
"un théâtre","a theater","module_2_vocabulaire"
"une université","a university","module_2_vocabulaire"
"l'art dramatique","drama","module_2_vocabulaire"
"la chimie","chemistry","module_2_vocabulaire"
"le commerce","business","module_2_vocabulaire"
"la comptabilité","accounting","module_2_vocabulaire"
"un cours","a course","module_2_vocabulaire"
"le droit","law","module_2_vocabulaire"
"l'économie","economics","module_2_vocabulaire"
"un examen","a test, an exam","module_2_vocabulaire"
"le génie civil","civil engineering","module_2_vocabulaire"
"l'histoire","history","module_2_vocabulaire"
"l'informatique","computer science","module_2_vocabulaire"
"le journalisme","journalism, media studies","module_2_vocabulaire"
"les langues","languages","module_2_vocabulaire"
"l'allemand","German","module_2_vocabulaire"
"l'anglais","English","module_2_vocabulaire"
"l'arabe","Arabic","module_2_vocabulaire"
"l'espagnol","Spanish","module_2_vocabulaire"
"le français","French","module_2_vocabulaire"
"l'italien","Italian","module_2_vocabulaire"
"le japonais","Japanese","module_2_vocabulaire"
"les sciences politiques","political science","module_2_vocabulaire"
"la spécialisation","major","module_2_vocabulaire"
"le travail","work","module_2_vocabulaire"
"l'anthropologie","anthropology","module_2_vocabulaire"
"l'art","art","module_2_vocabulaire"
"la biologie","biology","module_2_vocabulaire"
"la finance","finance","module_2_vocabulaire"
"la littérature","literature","module_2_vocabulaire"
"le management","management","module_2_vocabulaire"
"les mathématiques","mathematics","module_2_vocabulaire"
"les maths","maths (familiar)","module_2_vocabulaire"
"la médecine","medicine","module_2_vocabulaire"
"la philosophie","philosophy","module_2_vocabulaire"
"la physique","physics","module_2_vocabulaire"
"la psychologie","psychology","module_2_vocabulaire"
"la science","science","module_2_vocabulaire"
"le semestre","semester","module_2_vocabulaire"
"la sociologie","sociology","module_2_vocabulaire"
"le trimestre","term, trimester","module_2_vocabulaire"
"le calendrier","the calendar","module_2_vocabulaire"
"l'année","year","module_2_vocabulaire"
"aujourd'hui","today","module_2_vocabulaire"
"le jour","day","module_2_vocabulaire"
"le mois","month","module_2_vocabulaire"
"la semaine","week","module_2_vocabulaire"
"la date","the date","module_2_vocabulaire"
"le week-end","the weekend","module_2_vocabulaire"
"lundi","Monday","module_2_vocabulaire semaine_1_classe_vocabulaire"
"mardi","Tuesday","module_2_vocabulaire"
"mercredi","Wednesday","module_2_vocabulaire"
"jeudi","Thursday","module_2_vocabulaire"
"vendredi","Friday","module_2_vocabulaire"
"samedi","Saturday","module_2_vocabulaire"
"dimanche","Sunday","module_2_vocabulaire"
"l'automne","autumn","module_2_vocabulaire"
"l'été","summer","module_2_vocabulaire"
"l'hiver","winter","module_2_vocabulaire"
"le printemps","spring","module_2_vocabulaire"
"janvier","January","module_2_vocabulaire"
"février","February","module_2_vocabulaire"
"mars","March","module_2_vocabulaire"
"avril","April","module_2_vocabulaire"
"mai","May","module_2_vocabulaire"
"juin","June","module_2_vocabulaire"
"juillet","July","module_2_vocabulaire"
"août","August","module_2_vocabulaire"
"septembre","September","module_2_vocabulaire"
"octobre","October","module_2_vocabulaire"
"novembre","November","module_2_vocabulaire"
"décembre","December","module_2_vocabulaire"
"adorer","to adore","module_2_vocabulaire"
"aimer","to like; to love","module_2_vocabulaire"
"chanter","to sing","module_2_vocabulaire"
"danser","to dance","module_2_vocabulaire"
"écouter","to listen (to)","module_2_vocabulaire"
"étudier","to study","module_2_vocabulaire"
"jouer","to play","module_2_vocabulaire"
"manger","to eat","module_2_vocabulaire"
